cell_K,cell_lambda,seed,window,strategy,p_at_50,alpha,beta,gamma,delta
50,3.0,114,4,online,0.7,0.5,0.5,0.0,0.3
50,3.0,114,4,offline,0.7,0.5,0.5,0.1,0.3
50,3.0,115,4,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,115,4,online,0.6,0.5,0.5,0.0,0.3
50,3.0,115,4,offline,0.62,0.5,0.5,0.1,0.3
50,3.0,116,4,fixed,0.66,0.7,0.5,0.1,0.2
50,3.0,116,4,online,0.78,0.5,0.5,0.0,0.3
50,3.0,116,4,offline,0.76,0.5,0.5,0.1,0.3
50,3.0,117,4,fixed,0.6,0.7,0.5,0.1,0.2
50,3.0,117,4,online,0.62,0.5,0.5,0.0,0.3
50,3.0,117,4,offline,0.62,0.5,0.5,0.1,0.3
50,3.0,118,4,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,118,4,online,0.66,0.5,0.5,0.0,0.3
50,3.0,118,4,offline,0.66,0.5,0.5,0.1,0.3
50,3.0,119,4,fixed,0.56,0.7,0.5,0.1,0.2
50,3.0,119,4,online,0.68,0.5,0.5,0.0,0.3
50,3.0,119,4,offline,0.66,0.5,0.5,0.1,0.3
50,3.0,120,4,fixed,0.42,0.7,0.5,0.1,0.2
50,3.0,120,4,online,0.5,0.5,0.5,0.0,0.3
50,3.0,120,4,offline,0.5,0.5,0.5,0.1,0.3
50,3.0,121,4,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,121,4,online,0.56,0.5,0.5,0.0,0.3
50,3.0,121,4,offline,0.56,0.5,0.5,0.1,0.3
50,3.0,122,4,fixed,0.48,0.7,0.5,0.1,0.2
50,3.0,122,4,online,0.54,0.5,0.5,0.0,0.3
50,3.0,122,4,offline,0.52,0.5,0.5,0.1,0.3
50,3.0,123,4,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,123,4,online,0.68,0.5,0.5,0.0,0.3
50,3.0,123,4,offline,0.68,0.5,0.5,0.1,0.3
50,3.0,124,4,fixed,0.64,0.7,0.5,0.1,0.2
50,3.0,124,4,online,0.68,0.5,0.5,0.0,0.3
50,3.0,124,4,offline,0.66,0.5,0.5,0.1,0.3
50,3.0,125,4,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,125,4,online,0.6,0.5,0.5,0.0,0.3
50,3.0,125,4,offline,0.6,0.5,0.5,0.1,0.3
50,3.0,126,4,fixed,0.46,0.7,0.5,0.1,0.2
50,3.0,126,4,online,0.56,0.5,0.5,0.0,0.3
50,3.0,126,4,offline,0.58,0.5,0.5,0.1,0.3
50,3.0,127,4,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,127,4,online,0.62,0.5,0.5,0.0,0.3
50,3.0,127,4,offline,0.62,0.5,0.5,0.1,0.3
50,3.0,128,4,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,128,4,online,0.64,0.5,0.5,0.0,0.3
50,3.0,128,4,offline,0.66,0.5,0.5,0.1,0.3
50,3.0,129,4,fixed,0.48,0.7,0.5,0.1,0.2
50,3.0,129,4,online,0.56,0.5,0.5,0.0,0.3
50,3.0,129,4,offline,0.56,0.5,0.5,0.1,0.3
50,3.0,105,5,fixed,0.56,0.7,0.5,0.1,0.2
50,3.0,105,5,online,0.6,0.5,0.5,0.1,0.3
50,3.0,105,5,offline,0.62,0.9,0.7,0.0,0.3
50,3.0,106,5,fixed,0.56,0.7,0.5,0.1,0.2
50,3.0,106,5,online,0.56,0.5,0.5,0.1,0.3
50,3.0,106,5,offline,0.56,0.9,0.7,0.0,0.3
50,3.0,107,5,fixed,0.48,0.7,0.5,0.1,0.2
50,3.0,107,5,online,0.62,0.5,0.5,0.1,0.3
50,3.0,107,5,offline,0.54,0.9,0.7,0.0,0.3
50,3.0,108,5,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,108,5,online,0.6,0.5,0.5,0.1,0.3
50,3.0,108,5,offline,0.54,0.9,0.7,0.0,0.3
50,3.0,109,5,fixed,0.58,0.7,0.5,0.1,0.2
50,3.0,109,5,online,0.66,0.5,0.5,0.1,0.3
50,3.0,109,5,offline,0.62,0.9,0.7,0.0,0.3
50,3.0,110,5,fixed,0.48,0.7,0.5,0.1,0.2
50,3.0,110,5,online,0.6,0.5,0.5,0.1,0.3
50,3.0,110,5,offline,0.52,0.9,0.7,0.0,0.3
50,3.0,111,5,fixed,0.46,0.7,0.5,0.1,0.2
50,3.0,111,5,online,0.5,0.5,0.5,0.1,0.3
50,3.0,111,5,offline,0.46,0.9,0.7,0.0,0.3
50,3.0,112,5,fixed,0.5,0.7,0.5,0.1,0.2
50,3.0,112,5,online,0.56,0.5,0.5,0.1,0.3
50,3.0,112,5,offline,0.52,0.9,0.7,0.0,0.3
50,3.0,113,5,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,113,5,online,0.6,0.5,0.5,0.1,0.3
50,3.0,113,5,offline,0.5,0.9,0.7,0.0,0.3
50,3.0,114,5,fixed,0.58,0.7,0.5,0.1,0.2
50,3.0,114,5,online,0.64,0.5,0.5,0.1,0.3
50,3.0,114,5,offline,0.64,0.9,0.7,0.0,0.3
50,3.0,115,5,fixed,0.54,0.7,0.5,0.1,0.2
50,3.0,115,5,online,0.54,0.5,0.5,0.1,0.3
50,3.0,115,5,offline,0.58,0.9,0.7,0.0,0.3
