seed,axis,regime,ghost_rate,phantom_rate,total_error,retire,precision
1302,precision,,0.010863285649981323,0.17341326305439325,0.18427654870437457,,0.9
1302,precision,,0.010090301347762705,0.12658075327166163,0.13667105461942433,,0.95
1302,precision,,0.009775940580765394,0.09049097854802259,0.10026691912878798,,0.99
1303,regime,continuous,0.010264523991466993,0.12305149323307775,0.13331601722454475,,
1303,regime,periodic,0.5751123014079491,0.02975211237841347,0.6048644137863626,,
1303,retire,,0.1019122375372263,0.059476536410114446,0.16138877394734075,7.0,
1303,retire,,0.035460026273748106,0.08112911587860722,0.11658914215235533,14.0,
1303,retire,,0.010264523991466993,0.12305149323307775,0.13331601722454475,30.0,
1303,retire,,0.00775970619834592,0.20674350694984944,0.21450321314819537,60.0,
1303,retire,,0.007320389057694709,0.36401412629125296,0.3713345153489477,120.0,
1303,precision,,0.011778449597697728,0.2718014107893253,0.28357986038702304,,0.8
1303,precision,,0.011344625453041714,0.17176730122564748,0.1831119266786892,,0.9
1303,precision,,0.010264523991466993,0.12305149323307775,0.13331601722454475,,0.95
1303,precision,,0.009303709394101226,0.08837788610445153,0.09768159549855276,,0.99
1304,regime,continuous,0.010301707565916226,0.12519795396519962,0.13549966153111584,,
1304,regime,periodic,0.5760802541728596,0.02955053868330136,0.605630792856161,,
1304,retire,,0.10115406335742648,0.05971604313155221,0.1608701064889787,7.0,
1304,retire,,0.03706591270401201,0.08078398763181174,0.11784990033582375,14.0,
1304,retire,,0.010301707565916226,0.12519795396519962,0.13549966153111584,30.0,
1304,retire,,0.00736709609639597,0.20294787509806678,0.21031497119446274,60.0,
1304,retire,,0.00774437245047338,0.3707635150403675,0.37850788749084086,120.0,
1304,precision,,0.012636413391911691,0.2699845684172075,0.2826209818091192,,0.8
1304,precision,,0.010175498657353095,0.1718073936674679,0.18198289232482098,,0.9
1304,precision,,0.010301707565916226,0.12519795396519962,0.13549966153111584,,0.95
1304,precision,,0.00919624009448676,0.0859652187280199,0.09516145882250666,,0.99
1305,regime,continuous,0.010268972778615442,0.12523943541692165,0.13550840819553708,,
1305,regime,periodic,0.5767170435884802,0.03283129763783502,0.6095483412263152,,
1305,retire,,0.10670405920699638,0.05934862955721344,0.1660526887642098,7.0,
1305,retire,,0.03620836554356913,0.08088933221681104,0.11709769776038018,14.0,
1305,retire,,0.010268972778615442,0.12523943541692165,0.13550840819553708,30.0,
1305,retire,,0.007516494197789085,0.20548288964522993,0.212999383843019,60.0,
1305,retire,,0.0077203470308635875,0.38120874497999024,0.38892909201085385,120.0,
1305,precision,,0.011468423316739607,0.27057799871697885,0.28204642203371844,,0.8
1305,precision,,0.011153459444217797,0.17318005149910534,0.18433351094332315,,0.9
1305,precision,,0.010268972778615442,0.12523943541692165,0.13550840819553708,,0.95
1305,precision,,0.009661883010567607,0.08640149757998594,0.09606338059055355,,0.99
1306,regime,continuous,0.009895802984882606,0.1216246719782165,0.1315204749630991,,
1306,regime,periodic,0.5743992302238802,0.02967021083366489,0.6040694410575451,,
1306,retire,,0.10332843344652441,0.05929619185357396,0.16262462530009836,7.0,
1306,retire,,0.03961373925704135,0.08028648024694919,0.11990021950399055,14.0,
1306,retire,,0.009895802984882606,0.1216246719782165,0.1315204749630991,30.0,
1306,retire,,0.007184159995293945,0.20331329568441828,0.21049745567971223,60.0,
1306,retire,,0.007318079303066653,0.36818200652781563,0.3755000858308823,120.0,
1306,precision,,0.011731871326233498,0.2673812578417991,0.2791131291680326,,0.8
1306,precision,,0.010152009767306288,0.17364368854703174,0.18379569831433804,,0.9
1306,precision,,0.009895802984882606,0.1216246719782165,0.1315204749630991,,0.95
1306,precision,,0.009681781441275844,0.08468621871979584,0.09436800016107169,,0.99
1307,regime,continuous,0.00973722744051538,0.12613683431639183,0.13587406175690722,,
1307,regime,periodic,0.5704514653519936,0.030343119690008465,0.6007945850420021,,
1307,retire,,0.0995487438030631,0.06005680838727151,0.15960555219033462,7.0,
1307,retire,,0.03624505724872545,0.08067720041298461,0.11692225766171005,14.0,
