tau,cell_K,cell_lambda,seed,window,strategy,p_at_50
0.02,50,3.0,123,1,offline,0.64
0.02,50,3.0,124,1,fixed,0.58
0.02,50,3.0,124,1,lag1,0.58
0.02,50,3.0,124,1,adaptive,0.58
0.02,50,3.0,124,1,gated,0.58
0.02,50,3.0,124,1,offline,0.58
0.02,50,3.0,125,1,fixed,0.58
0.02,50,3.0,125,1,lag1,0.58
0.02,50,3.0,125,1,adaptive,0.58
0.02,50,3.0,125,1,gated,0.58
0.02,50,3.0,125,1,offline,0.58
0.02,50,3.0,126,1,fixed,0.6
0.02,50,3.0,126,1,lag1,0.6
0.02,50,3.0,126,1,adaptive,0.6
0.02,50,3.0,126,1,gated,0.6
0.02,50,3.0,126,1,offline,0.6
0.02,50,3.0,127,1,fixed,0.52
0.02,50,3.0,127,1,lag1,0.52
0.02,50,3.0,127,1,adaptive,0.52
0.02,50,3.0,127,1,gated,0.52
0.02,50,3.0,127,1,offline,0.52
0.02,50,3.0,128,1,fixed,0.72
0.02,50,3.0,128,1,lag1,0.72
0.02,50,3.0,128,1,adaptive,0.72
0.02,50,3.0,128,1,gated,0.72
0.02,50,3.0,128,1,offline,0.72
0.02,50,3.0,129,1,fixed,0.58
0.02,50,3.0,129,1,lag1,0.58
0.02,50,3.0,129,1,adaptive,0.58
0.02,50,3.0,129,1,gated,0.58
0.02,50,3.0,129,1,offline,0.58
0.02,50,3.0,105,2,fixed,0.56
0.02,50,3.0,105,2,lag1,0.72
0.02,50,3.0,105,2,adaptive,0.56
0.02,50,3.0,105,2,gated,0.72
0.02,50,3.0,105,2,offline,0.7
0.02,50,3.0,106,2,fixed,0.56
0.02,50,3.0,106,2,lag1,0.9
0.02,50,3.0,106,2,adaptive,0.56
0.02,50,3.0,106,2,gated,0.9
0.02,50,3.0,106,2,offline,0.9
0.02,50,3.0,107,2,fixed,0.52
0.02,50,3.0,107,2,lag1,0.78
0.02,50,3.0,107,2,adaptive,0.52
0.02,50,3.0,107,2,gated,0.78
0.02,50,3.0,107,2,offline,0.8
0.02,50,3.0,108,2,fixed,0.62
0.02,50,3.0,108,2,lag1,0.82
0.02,50,3.0,108,2,adaptive,0.62
0.02,50,3.0,108,2,gated,0.82
0.02,50,3.0,108,2,offline,0.8
0.02,50,3.0,109,2,fixed,0.5
0.02,50,3.0,109,2,lag1,0.68
0.02,50,3.0,109,2,adaptive,0.5
0.02,50,3.0,109,2,gated,0.68
0.02,50,3.0,109,2,offline,0.66
0.02,50,3.0,110,2,fixed,0.52
0.02,50,3.0,110,2,lag1,0.8
0.02,50,3.0,110,2,adaptive,0.52
0.02,50,3.0,110,2,gated,0.8
0.02,50,3.0,110,2,offline,0.82
0.02,50,3.0,111,2,fixed,0.52
0.02,50,3.0,111,2,lag1,0.72
0.02,50,3.0,111,2,adaptive,0.52
0.02,50,3.0,111,2,gated,0.72
0.02,50,3.0,111,2,offline,0.74
0.02,50,3.0,112,2,fixed,0.48
0.02,50,3.0,112,2,lag1,0.64
0.02,50,3.0,112,2,adaptive,0.48
0.02,50,3.0,112,2,gated,0.64
