seed,sigma,method,n_mcetp,mwp_at_50,ndcg_at_50,mwp_at_100,ndcg_at_100,mwp_at_250,ndcg_at_250
505,0.25,CAP-day0,31,0.28,0.4926,0.26,0.7037,0.124,0.7807
505,0.25,EPSS-matured-oracle,31,0.3,0.5619,0.27,0.7707,0.124,0.8338
505,0.25,CVSS-only,31,0.22,0.3029,0.23,0.513,0.116,0.6033
505,0.25,Random,31,0.0,0.0,0.01,0.0179,0.012,0.0486
505,0.25,Context-only,31,0.04,0.0545,0.04,0.0897,0.048,0.2075
505,0.25,PTI-full,31,0.3,0.552,0.27,0.7646,0.124,0.8262
505,0.25,PTI-noObs,31,0.36,0.6105,0.25,0.7336,0.116,0.7964
505,0.25,PTI-noCrit,31,0.2,0.2498,0.25,0.5092,0.124,0.6002
505,0.5,EPSS-day0,31,0.2,0.3013,0.25,0.5595,0.124,0.6489
505,0.5,CAP-day0,31,0.26,0.5218,0.27,0.7672,0.124,0.8273
505,0.5,EPSS-matured-oracle,31,0.3,0.5619,0.27,0.7707,0.124,0.8338
505,0.5,CVSS-only,31,0.2,0.2706,0.2,0.4424,0.12,0.5883
505,0.5,Random,31,0.02,0.1068,0.01,0.1068,0.012,0.1347
505,0.5,Context-only,31,0.04,0.0545,0.04,0.0897,0.048,0.2075
505,0.5,PTI-full,31,0.28,0.5467,0.28,0.7919,0.124,0.8366
505,0.5,PTI-noObs,31,0.34,0.5985,0.23,0.7002,0.124,0.8181
505,0.5,PTI-noCrit,31,0.2,0.3345,0.24,0.5752,0.124,0.6819
505,0.75,EPSS-day0,31,0.22,0.2873,0.22,0.4766,0.124,0.6086
505,0.75,CAP-day0,31,0.26,0.479,0.23,0.6555,0.124,0.7764
505,0.75,EPSS-matured-oracle,31,0.3,0.5619,0.27,0.7707,0.124,0.8338
505,0.75,CVSS-only,31,0.22,0.374,0.18,0.4962,0.116,0.6599
505,0.75,Random,31,0.0,0.0,0.0,0.0,0.0,0.0
505,0.75,Context-only,31,0.04,0.0545,0.04,0.0897,0.048,0.2075
505,0.75,PTI-full,31,0.32,0.5741,0.25,0.7289,0.124,0.8199
505,0.75,PTI-noObs,31,0.3,0.553,0.22,0.6756,0.124,0.8086
505,0.75,PTI-noCrit,31,0.2,0.3288,0.22,0.5369,0.124,0.672
505,1.0,EPSS-day0,31,0.2,0.2626,0.2,0.4326,0.12,0.5841
